# Name      CPU                       NCores Memory disks size Network      Power H6OS
t2bat0020 Intel(R)_Xeon(R)_Silver_4116_2.10GHz 48 96 5 45.5 1000baseT/Full 1100 530
t2bat0021 Intel(R)_Xeon(R)_Gold_6326_2.90GHz 64 128 0 0 1000baseT/Full 1400 904
t2bat0022 Intel(R)_Xeon(R)_Gold_6326_2.90GHz 64 128 0 0 1000baseT/Full 1400 904
t2bat0023 Intel(R)_Xeon(R)_Gold_6326_2.90GHz 64 128 0 0 1000baseT/Full 1400 904
t2bat0024 Intel(R)_Xeon(R)_Gold_6326_2.90GHz 64 128 0 0 1000baseT/Full 1400 904
t2bat0025 Intel(R)_Xeon(R)_Gold_6326_2.90GHz 64 128 0 0 1000baseT/Full 1400 904
t2bat0041 Intel(R)_Xeon(R)_E5310_1.60GHz 8 16 5 9.0 1000baseT/Full 0 46
t2bat0042 Intel(R)_Xeon(R)_E5310_1.60GHz 8 16 5 9.0 1000baseT/Full 0 46
t2bat0043 Intel(R)_Xeon(R)_E5310_1.60GHz 8 16 5 9.0 1000baseT/Full 0 46
t2bat0045 Intel(R)_Xeon(R)_E5310_1.60GHz 8 16 4 7.2 1000baseT/Full 0 46
t2bat0046 Intel(R)_Xeon(R)_E5310_1.60GHz 8 16 5 9.0 1000baseT/Full 0 46
t2bat0047 Intel(R)_Xeon(R)_E5310_1.60GHz 8 16 5 9.0 1000baseT/Full 0 46
t2bat0048 Intel(R)_Xeon(R)_E5310_1.60GHz 8 16 4 7.2 1000baseT/Full 0 46
t2bat0049 Intel(R)_Xeon(R)_E5310_1.60GHz 8 16 5 9.0 1000baseT/Full 0 46
t2bat0050 Intel(R)_Xeon(R)_E5310_1.60GHz 8 16 5 9.0 1000baseT/Full 0 46
t2bat0051 Intel(R)_Xeon(R)_E5310_1.60GHz 8 16 5 9.0 1000baseT/Full 0 46
t2bat0052 Intel(R)_Xeon(R)_E5310_1.60GHz 8 16 4 7.2 1000baseT/Full 0 46
t2bat0053 Intel(R)_Xeon(R)_E5310_1.60GHz 8 16 5 9.0 1000baseT/Full 0 46
t2bat0055 Intel(R)_Xeon(R)_E5310_1.60GHz 8 16 4 7.2 1000baseT/Full 0 46
t2bat0056 Intel(R)_Xeon(R)_E5335_2.00GHz 8 16 5 9.0 1000baseT/Full 0 57
t2bat0057 Intel(R)_Xeon(R)_E5335_2.00GHz 8 16 5 9.0 1000baseT/Full 0 57
t2bat0058 Intel(R)_Xeon(R)_E5335_2.00GHz 8 16 5 9.0 1000baseT/Full 0 57
t2bat0059 Intel(R)_Xeon(R)_E5335_2.00GHz 8 16 5 9.0 1000baseT/Full 0 57
t2bat0060 Intel(R)_Xeon(R)_E5335_2.00GHz 8 16 5 9.0 1000baseT/Full 0 57
t2bat0061 Intel(R)_Xeon(R)_E5335_2.00GHz 8 16 5 9.0 1000baseT/Full 0 57
t2bat0062 Intel(R)_Xeon(R)_E5310_1.60GHz 8 16 5 9.0 1000baseT/Full 0 46
t2bat0063 Intel(R)_Xeon(R)_E5335_2.00GHz 8 16 5 9.0 1000baseT/Full 0 57
t2bat0064 Intel(R)_Xeon(R)_E5335_2.00GHz 8 16 5 9.0 1000baseT/Full 0 57
t2bat0065 Intel(R)_Xeon(R)_E5335_2.00GHz 8 16 5 9.0 1000baseT/Full 0 57
t2bat0066 Intel(R)_Xeon(R)_E5335_2.00GHz 8 16 5 9.0 1000baseT/Full 0 57
t2bat0068 Intel(R)_Xeon(R)_E5310_1.60GHz 8 16 5 9.0 1000baseT/Full 0 46
t2bat0069 Intel(R)_Xeon(R)_E5335_2.00GHz 8 16 4 7.2 1000baseT/Full 0 57
t2bat0070 Intel(R)_Xeon(R)_E5640_2.67GHz 8 24 5 9.0 1000baseT/Full 220 140
t2bat0071 Intel(R)_Xeon(R)_E5335_2.00GHz 8 16 5 9.0 1000baseT/Full 100 57
t2bat0072 Intel(R)_Xeon(R)_E5335_2.00GHz 8 16 5 9.0 1000baseT/Full 100 57
t2bat0073 Intel(R)_Xeon(R)_E5335_2.00GHz 8 16 5 9.0 1000baseT/Full 100 57
t2bat0074 Intel(R)_Xeon(R)_E5335_2.00GHz 8 16 5 9.0 1000baseT/Full 100 57
t2bat0075 Intel(R)_Xeon(R)_E5335_2.00GHz 8 16 5 9.0 1000baseT/Full 100 57
t2bat0076 Intel(R)_Xeon(R)_E5335_2.00GHz 8 16 5 9.0 1000baseT/Full 100 57
t2bat0077 Intel(R)_Xeon(R)_E5335_2.00GHz 8 16 5 9.0 1000baseT/Full 100 57
t2bat0078 Intel(R)_Xeon(R)_E5335_2.00GHz 8 16 5 9.0 1000baseT/Full 100 57
t2bat0079 Intel(R)_Xeon(R)_E5335_2.00GHz 8 16 5 9.0 1000baseT/Full 100 57
t2bat0080 Intel(R)_Xeon(R)_E5335_2.00GHz 8 16 5 9.0 1000baseT/Full 100 57
t2bat0081 Intel(R)_Xeon(R)_E5335_2.00GHz 8 16 4 7.2 1000baseT/Full 100 57
t2bat0082 Intel(R)_Xeon(R)_E5335_2.00GHz 8 16 5 9.0 1000baseT/Full 100 57
t2bat0083 Intel(R)_Xeon(R)_E5335_2.00GHz 8 16 5 9.0 1000baseT/Full 100 57
t2bat0084 Intel(R)_Xeon(R)_E5335_2.00GHz 8 16 5 9.0 1000baseT/Full 100 57
t2bat0085 Intel(R)_Xeon(R)_E5335_2.00GHz 8 16 4 7.2 1000baseT/Full 100 57
t2bat0086 Intel(R)_Xeon(R)_E5310_1.60GHz 8 16 5 9.0 1000baseT/Full 100 46
t2bat0087 Intel(R)_Xeon(R)_E5335_2.00GHz 8 16 5 9.0 1000baseT/Full 100 57
t2bat0088 Intel(R)_Xeon(R)_E5335_2.00GHz 8 16 5 9.0 1000baseT/Full 100 57
t2bat0090 Intel(R)_Xeon(R)_X5647_2.93GHz 16 24 5 9.0 1000baseT/Full 220 155
t2bat0091 Intel(R)_Xeon(R)_E5410_2.33GHz 8 16 5 9.0 1000baseT/Full 100 69
t2bat0092 Intel(R)_Xeon(R)_E5410_2.33GHz 8 16 5 9.0 1000baseT/Full 100 69
t2bat0093 Intel(R)_Xeon(R)_E5410_2.33GHz 8 16 5 9.0 1000baseT/Full 100 69
t2bat0094 Intel(R)_Xeon(R)_E5410_2.33GHz 8 16 5 9.0 1000baseT/Full 100 69
t2bat0095 Intel(R)_Xeon(R)_E5410_2.33GHz 8 16 5 9.0 1000baseT/Full 100 69
t2bat0096 Intel(R)_Xeon(R)_E5410_2.33GHz 8 16 5 9.0 1000baseT/Full 100 69
t2bat0097 Intel(R)_Xeon(R)_E5410_2.33GHz 8 16 5 9.0 1000baseT/Full 100 69
t2bat0098 Intel(R)_Xeon(R)_E5410_2.33GHz 8 16 5 9.0 1000baseT/Full 100 69
t2bat0099 Intel(R)_Xeon(R)_E5410_2.33GHz 8 16 5 9.0 1000baseT/Full 100 69
t2bat0100 Intel(R)_Xeon(R)_E5410_2.33GHz 8 16 5 9.0 1000baseT/Full 100 69
t2bat0101 Intel(R)_Xeon(R)_E5410_2.33GHz 8 16 5 9.0 1000baseT/Full 100 69
t2bat0103 Intel(R)_Xeon(R)_X5647_2.93GHz 16 24 5 9.0 1000baseT/Full 240 155
t2bat0104 Intel(R)_Xeon(R)_E5410_2.33GHz 8 16 5 9.0 1000baseT/Full 100 69
t2bat0106 Intel(R)_Xeon(R)_E5410_2.33GHz 8 16 5 9.0 1000baseT/Full 100 69
t2bat0107 Intel(R)_Xeon(R)_E5410_2.33GHz 8 16 5 9.0 1000baseT/Full 100 69
t2bat0108 Intel(R)_Xeon(R)_E5410_2.33GHz 8 16 5 9.0 1000baseT/Full 100 69
t2bat0109 Intel(R)_Xeon(R)_E5410_2.33GHz 8 16 5 9.0 1000baseT/Full 100 69
t2bat0110 Intel(R)_Xeon(R)_E5410_2.33GHz 8 16 5 9.0 1000baseT/Full 100 69
t2bat0111 Intel(R)_Xeon(R)_E5410_2.33GHz 8 16 5 9.0 1000baseT/Full 100 69
t2bat0112 Intel(R)_Xeon(R)_E5310_1.60GHz 8 16 5 9.0 1000baseT/Full 100 46
t2bat0113 Intel(R)_Xeon(R)_E5410_2.33GHz 8 16 5 9.0 1000baseT/Full 100 69
t2bat0114 Intel(R)_Xeon(R)_E5410_2.33GHz 8 16 5 9.0 1000baseT/Full 100 69
t2bat0115 Intel(R)_Xeon(R)_E5410_2.33GHz 8 16 5 9.0 1000baseT/Full 100 69
t2bat0116 Intel(R)_Xeon(R)_E5310_1.60GHz 8 16 5 9.0 1000baseT/Full 100 46
t2bat0117 Intel(R)_Xeon(R)_E5310_1.60GHz 8 16 5 9.0 1000baseT/Full 100 46
t2bat0118 Intel(R)_Xeon(R)_E5310_1.60GHz 8 16 0 0 1000baseT/Full 100 46
t2bat0119 Intel(R)_Xeon(R)_E5410_2.33GHz 8 16 5 9.0 1000baseT/Full 100 69
t2bat0121 Intel(R)_Xeon(R)_E5410_2.33GHz 8 16 4 7.2 1000baseT/Full 100 69
t2bat0122 Intel(R)_Xeon(R)_E5410_2.33GHz 8 16 5 9.0 1000baseT/Full 100 69
t2bat0123 Intel(R)_Xeon(R)_E5410_2.33GHz 8 16 5 9.0 1000baseT/Full 100 69
t2bat0124 Intel(R)_Xeon(R)_E5410_2.33GHz 8 16 5 9.0 1000baseT/Full 100 69
t2bat0125 Intel(R)_Xeon(R)_E5410_2.33GHz 8 16 5 9.0 1000baseT/Full 100 69
t2bat0126 Intel(R)_Xeon(R)_E5410_2.33GHz 8 16 4 7.2 1000baseT/Full 100 69
t2bat0127 Intel(R)_Xeon(R)_E5410_2.33GHz 8 16 5 9.0 1000baseT/Full 100 69
t2bat0128 Intel(R)_Xeon(R)_E5410_2.33GHz 8 16 5 9.0 1000baseT/Full 100 69
t2bat0129 Intel(R)_Xeon(R)_E5410_2.33GHz 8 16 5 9.0 1000baseT/Full 100 69
t2bat0130 Intel(R)_Xeon(R)_E5410_2.33GHz 8 16 5 9.0 1000baseT/Full 100 69
t2bat0131 Intel(R)_Xeon(R)_E5410_2.33GHz 8 16 4 7.2 1000baseT/Full 100 69
t2bat0132 Intel(R)_Xeon(R)_E5410_2.33GHz 8 16 5 9.0 1000baseT/Full 100 69
t2bat0134 Intel(R)_Xeon(R)_E5410_2.33GHz 8 16 5 9.0 1000baseT/Full 100 69
t2bat0136 Intel(R)_Xeon(R)_E5410_2.33GHz 8 16 5 9.0 1000baseT/Full 100 69
t2bat0137 Intel(R)_Xeon(R)_E5410_2.33GHz 8 16 5 9.0 1000baseT/Full 100 69
t2bat0138 Intel(R)_Xeon(R)_E5410_2.33GHz 8 16 5 9.0 1000baseT/Full 100 69
t2bat0139 Intel(R)_Xeon(R)_E5410_2.33GHz 8 16 5 9.0 1000baseT/Full 100 69
t2bat0141 Intel(R)_Xeon(R)_E5410_2.33GHz 8 16 5 9.0 1000baseT/Full 100 69
t2bat0143 Intel(R)_Xeon(R)_E5410_2.33GHz 8 16 5 9.0 1000baseT/Full 100 69
t2bat0144 Intel(R)_Xeon(R)_E5410_2.33GHz 8 16 5 9.0 1000baseT/Full 100 69
t2bat0145 Intel(R)_Xeon(R)_E5410_2.33GHz 8 16 5 9.0 1000baseT/Full 100 69
t2bat0146 Intel(R)_Xeon(R)_Silver_4116_2.10GHz 48 96 0 0 1000baseT/Full 1100 530
t2bat0147 Intel(R)_Xeon(R)_Silver_4116_2.10GHz 48 96 1 7.3 1000baseT/Full 1100 530
t2bat0148 Intel(R)_Xeon(R)_Silver_4116_2.10GHz 48 96 1 7.3 1000baseT/Full 1100 530
t2bat0149 Intel(R)_Xeon(R)_Silver_4116_2.10GHz 48 96 1 7.3 1000baseT/Full 1100 530
t2bat0150 Intel(R)_Xeon(R)_Silver_4116_2.10GHz 48 96 1 7.3 1000baseT/Full 1100 530
t2bat0151 Intel(R)_Xeon(R)_E5-2620_v4_2.10GHz 32 64 7 51.1 1000baseT/Full 1100 320
t2bat0152 Intel(R)_Xeon(R)_E5-2620_v4_2.10GHz 32 64 7 51.1 1000baseT/Full 1100 320
t2bat0153 Intel(R)_Xeon(R)_E5-2620_v4_2.10GHz 32 64 7 51.1 1000baseT/Full 1100 320
t2bat0154 Intel(R)_Xeon(R)_E5-2620_v4_2.10GHz 32 64 7 51.1 1000baseT/Full 1100 320
t2bat0155 Intel(R)_Xeon(R)_E5-2620_v4_2.10GHz 32 64 7 51.1 1000baseT/Full 1100 320
t2bat0156 Intel(R)_Xeon(R)_E5-2620_v4_2.10GHz 32 64 7 51.1 1000baseT/Full 1100 320
t2bat0157 Intel(R)_Xeon(R)_E5-2620_v4_2.10GHz 32 64 7 51.1 1000baseT/Full 1100 320
t2bat0158 Intel(R)_Xeon(R)_E5-2620_v4_2.10GHz 32 64 7 51.1 1000baseT/Full 1100 320
t2bat0159 Intel(R)_Xeon(R)_E5-2620_v4_2.10GHz 32 64 7 51.1 1000baseT/Full 1100 320
t2bat0160 Intel(R)_Xeon(R)_E5-2620_v4_2.10GHz 32 64 7 51.1 1000baseT/Full 1100 320
t2bat0161 Intel(R)_Xeon(R)_X5647_2.93GHz 16 24 5 9.0 1000baseT/Full 220 155
t2bat0162 Intel(R)_Xeon(R)_E5-2609_v2_2.50GHz 8 64 11 29.7 1000baseT/Full 230 169
t2bat0163 Intel(R)_Xeon(R)_E5-2609_v2_2.50GHz 8 64 11 29.7 1000baseT/Full 230 169
t2bat0164 Intel(R)_Xeon(R)_E5-2609_v2_2.50GHz 8 64 11 29.7 1000baseT/Full 230 169
t2bat0165 Intel(R)_Xeon(R)_E5-2640_v3_2.60GHz 32 96 5 21.7 1000baseT/Full 1100 369
t2bat0166 Intel(R)_Xeon(R)_E5-2640_v3_2.60GHz 32 96 6 25.3 1000baseT/Full 1100 369
t2bat0167 Intel(R)_Xeon(R)_E5620_2.40GHz 8 24 5 9.0 1000baseT/Full 210 126
t2bat0168 Intel(R)_Xeon(R)_E5640_2.67GHz 8 24 5 9.0 1000baseT/Full 220 140
t2bat0169 Intel(R)_Xeon(R)_E5640_2.67GHz 8 24 5 9.0 1000baseT/Full 220 140
t2bat0170 Intel(R)_Xeon(R)_E5640_2.67GHz 8 24 5 9.0 1000baseT/Full 220 140
t2bat0171 Intel(R)_Xeon(R)_E5640_2.67GHz 8 24 5 9.0 1000baseT/Full 220 140
t2bat0172 Intel(R)_Xeon(R)_E5640_2.67GHz 8 24 5 9.0 1000baseT/Full 220 140
t2bat0173 Intel(R)_Xeon(R)_E5640_2.67GHz 8 24 5 9.0 1000baseT/Full 220 140
t2bat0174 Intel(R)_Xeon(R)_E5640_2.67GHz 8 24 5 9.0 1000baseT/Full 220 140
t2bat0175 Intel(R)_Xeon(R)_E5640_2.67GHz 8 24 5 9.0 1000baseT/Full 220 140
t2bat0176 Intel(R)_Xeon(R)_E5640_2.67GHz 8 24 5 9.0 1000baseT/Full 220 140
t2bat0177 Intel(R)_Xeon(R)_E5640_2.67GHz 8 24 3 5.4 1000baseT/Full 220 140
t2bat0178 Intel(R)_Xeon(R)_E5640_2.67GHz 8 24 5 9.0 1000baseT/Full 220 140
t2bat0179 Intel(R)_Xeon(R)_E5640_2.67GHz 8 24 5 9.0 1000baseT/Full 220 140
t2bat0180 Intel(R)_Xeon(R)_E5640_2.67GHz 8 24 5 9.0 1000baseT/Full 220 140
t2bat0181 Intel(R)_Xeon(R)_E5640_2.67GHz 8 24 5 9.0 1000baseT/Full 220 140
t2bat0182 Intel(R)_Xeon(R)_E5640_2.67GHz 8 24 5 9.0 1000baseT/Full 220 140
